Date,Open,High,Low,Close
12/22/2014 8:36:00 PM,1.16255,1.1626,1.16254,1.16258
12/22/2014 8:38:00 PM,1.16257,1.16258,1.16254,1.16256
12/22/2014 8:40:00 PM,1.16257,1.16259,1.16254,1.16257
12/22/2014 8:42:00 PM,1.16258,1.16261,1.16255,1.16258
12/22/2014 8:44:00 PM,1.16258,1.16264,1.1625,1.16264
12/22/2014 8:46:00 PM,1.16264,1.16273,1.16262,1.16272
12/22/2014 8:48:00 PM,1.16273,1.16273,1.16272,1.16273
12/22/2014 8:50:00 PM,1.16272,1.16278,1.1627,1.1627
12/22/2014 8:52:00 PM,1.1627,1.16273,1.16265,1.16266
12/22/2014 8:54:00 PM,1.16266,1.16269,1.16253,1.16253
12/22/2014 8:56:00 PM,1.16254,1.16256,1.16253,1.16256
12/22/2014 8:58:00 PM,1.16256,1.16261,1.16254,1.1626
12/22/2014 9:00:00 PM,1.16261,1.16262,1.1626,1.16261
12/22/2014 9:02:00 PM,1.16261,1.16262,1.16261,1.16261
12/22/2014 9:04:00 PM,1.16261,1.16262,1.16258,1.16258
12/22/2014 9:06:00 PM,1.16259,1.16259,1.16234,1.16235
12/22/2014 9:08:00 PM,1.16235,1.16236,1.16232,1.16232
12/22/2014 9:10:00 PM,1.16232,1.16234,1.16217,1.16218
12/22/2014 9:12:00 PM,1.16217,1.16218,1.16163,1.16175
12/22/2014 9:14:00 PM,1.16174,1.16175,1.16157,1.16157
12/22/2014 9:16:00 PM,1.16157,1.16165,1.16156,1.16165
12/22/2014 9:18:00 PM,1.16165,1.16166,1.16154,1.16156
12/22/2014 9:20:00 PM,1.16155,1.1616,1.16154,1.16156
12/22/2014 9:22:00 PM,1.16155,1.16167,1.16154,1.16167
12/22/2014 9:24:00 PM,1.16166,1.16176,1.16166,1.16174
12/22/2014 9:26:00 PM,1.16174,1.16182,1.16168,1.16174
12/22/2014 9:28:00 PM,1.16175,1.16176,1.16165,1.16172
12/22/2014 9:30:00 PM,1.16172,1.16174,1.16164,1.16165
12/22/2014 9:32:00 PM,1.16165,1.16178,1.16164,1.16166
