Date,Open,High,Low,Close
12/22/2014 6:16:00 PM,187.1785,187.1905,187.1705,187.1865
12/22/2014 6:18:00 PM,187.1885,187.1995,187.1865,187.191
12/22/2014 6:20:00 PM,187.1915,187.2595,187.191,187.24
12/22/2014 6:22:00 PM,187.2415,187.243,187.2175,187.2255
12/22/2014 6:24:00 PM,187.225,187.232,187.2245,187.232
12/22/2014 6:26:00 PM,187.2325,187.2325,187.1845,187.1855
12/22/2014 6:28:00 PM,187.184,187.1945,187.169,187.169
12/22/2014 6:30:00 PM,187.1695,187.1705,187.1215,187.131
12/22/2014 6:32:00 PM,187.1325,187.138,187.1235,187.1355
12/22/2014 6:34:00 PM,187.1365,187.164,187.1355,187.162
12/22/2014 6:36:00 PM,187.163,187.183,187.161,187.1735
12/22/2014 6:38:00 PM,187.173,187.1825,187.166,187.1715
12/22/2014 6:40:00 PM,187.1705,187.187,187.1675,187.1865
12/22/2014 6:42:00 PM,187.185,187.1975,187.18,187.1905
12/22/2014 6:44:00 PM,187.191,187.1965,187.1865,187.1865
12/22/2014 6:46:00 PM,187.187,187.1875,187.1775,187.178
12/22/2014 6:48:00 PM,187.1775,187.182,187.174,187.175
12/22/2014 6:50:00 PM,187.1755,187.177,187.1285,187.16
12/22/2014 6:52:00 PM,187.161,187.1795,187.1405,187.1675
12/22/2014 6:54:00 PM,187.167,187.1675,187.153,187.153
12/22/2014 6:56:00 PM,187.1525,187.192,187.1525,187.1635
12/22/2014 6:58:00 PM,187.1665,187.1775,187.1635,187.1775
12/22/2014 7:00:00 PM,187.176,187.179,187.167,187.175
12/22/2014 7:02:00 PM,187.176,187.1865,187.1735,187.1735
12/22/2014 7:04:00 PM,187.172,187.1735,187.1375,187.1435
12/22/2014 7:06:00 PM,187.1445,187.1495,187.1425,187.145
12/22/2014 7:08:00 PM,187.144,187.145,187.134,187.1355
12/22/2014 7:10:00 PM,187.137,187.138,187.1245,187.1295
12/22/2014 7:12:00 PM,187.13,187.167,187.1295,187.162
12/22/2014 7:14:00 PM,187.1625,187.175,187.1565,187.1635
12/22/2014 7:16:00 PM,187.164,187.203,187.155,187.2025
12/22/2014 7:18:00 PM,187.202,187.206,187.156,187.156
12/22/2014 7:20:00 PM,187.157,187.1775,187.147,187.159
12/22/2014 7:22:00 PM,187.1585,187.17,187.131,187.169
12/22/2014 7:24:00 PM,187.17,187.1855,187.1535,187.155
12/22/2014 7:26:00 PM,187.154,187.178,187.148,187.153
12/22/2014 7:28:00 PM,187.1525,187.1755,187.1525,187.1755
12/22/2014 7:30:00 PM,187.1735,187.1755,187.154,187.175
12/22/2014 7:32:00 PM,187.1745,187.198,187.174,187.1795
12/22/2014 7:34:00 PM,187.1785,187.1795,187.1545,187.1725
12/22/2014 7:36:00 PM,187.171,187.1845,187.1245,187.1585
12/22/2014 7:38:00 PM,187.158,187.181,187.1565,187.181
12/22/2014 7:40:00 PM,187.182,187.184,187.1745,187.1825
12/22/2014 7:42:00 PM,187.1815,187.184,187.1605,187.163
12/22/2014 7:44:00 PM,187.1615,187.163,187.155,187.1555
12/22/2014 7:46:00 PM,187.155,187.1915,187.154,187.1815
12/22/2014 7:48:00 PM,187.183,187.191,187.1705,187.1705
12/22/2014 7:50:00 PM,187.1715,187.1835,187.1615,187.181
12/22/2014 7:52:00 PM,187.1805,187.186,187.1595,187.1625
12/22/2014 7:54:00 PM,187.1635,187.1665,187.15,187.16
12/22/2014 7:56:00 PM,187.159,187.16,187.1395,187.1545
12/22/2014 7:58:00 PM,187.1535,187.1705,187.14,187.144
12/22/2014 8:00:00 PM,187.1445,187.1565,187.144,187.1515
12/22/2014 8:02:00 PM,187.15,187.1545,187.1455,187.1545
12/22/2014 8:04:00 PM,187.1555,187.1615,187.143,187.1505
12/22/2014 8:06:00 PM,187.1525,187.1935,187.1505,187.1885
12/22/2014 8:08:00 PM,187.187,187.2115,187.187,187.2055
12/22/2014 8:10:00 PM,187.2045,187.221,187.2045,187.2145
12/22/2014 8:12:00 PM,187.215,187.218,187.2005,187.216
12/22/2014 8:14:00 PM,187.217,187.22,187.211,187.214
12/22/2014 8:16:00 PM,187.2135,187.214,187.191,187.1975
12/22/2014 8:18:00 PM,187.197,187.211,187.192,187.199
12/22/2014 8:20:00 PM,187.1985,187.2025,187.198,187.2025
12/22/2014 8:22:00 PM,187.201,187.2245,187.1765,187.2245
12/22/2014 8:24:00 PM,187.224,187.233,187.2135,187.217
12/22/2014 8:26:00 PM,187.2185,187.226,187.193,187.211
12/22/2014 8:28:00 PM,187.21,187.2725,187.2095,187.2595
12/22/2014 8:30:00 PM,187.2585,187.2605,187.2475,187.253
12/22/2014 8:32:00 PM,187.2535,187.2705,187.2415,187.2415
12/22/2014 8:34:00 PM,187.2405,187.2415,187.238,187.239
12/22/2014 8:36:00 PM,187.2385,187.239,187.228,187.2295
12/22/2014 8:38:00 PM,187.23,187.23,187.2135,187.2155
12/22/2014 8:40:00 PM,187.215,187.2285,187.2065,187.2245
12/22/2014 8:42:00 PM,187.2255,187.2335,187.221,187.221
12/22/2014 8:44:00 PM,187.2205,187.2245,187.213,187.217
12/22/2014 8:46:00 PM,187.2165,187.225,187.2015,187.2095
12/22/2014 8:48:00 PM,187.21,187.2335,187.209,187.212
12/22/2014 8:50:00 PM,187.213,187.233,187.202,187.2295
12/22/2014 8:52:00 PM,187.2285,187.2295,187.202,187.202
12/22/2014 8:54:00 PM,187.2025,187.2435,187.202,187.2165
12/22/2014 8:56:00 PM,187.216,187.2245,187.212,187.2185
12/22/2014 8:58:00 PM,187.219,187.2325,187.183,187.1905
12/22/2014 9:00:00 PM,187.1915,187.2095,187.184,187.209
12/22/2014 9:02:00 PM,187.2095,187.2095,187.1785,187.186
12/22/2014 9:04:00 PM,187.1855,187.1885,187.1625,187.1785
12/22/2014 9:06:00 PM,187.1785,187.206,187.1585,187.2035
12/22/2014 9:08:00 PM,187.205,187.2055,187.1745,187.19
12/22/2014 9:10:00 PM,187.191,187.2145,187.1845,187.2145
12/22/2014 9:12:00 PM,187.216,187.236,187.2145,187.231
12/22/2014 9:14:00 PM,187.2305,187.2345,187.216,187.2215
12/22/2014 9:16:00 PM,187.221,187.2785,187.2145,187.2735
12/22/2014 9:18:00 PM,187.275,187.283,187.2395,187.259
12/22/2014 9:20:00 PM,187.2585,187.2825,187.237,187.2435
12/22/2014 9:22:00 PM,187.244,187.249,187.2325,187.2375
12/22/2014 9:24:00 PM,187.2385,187.2585,187.228,187.2585
12/22/2014 9:26:00 PM,187.2595,187.2745,187.2575,187.2745
12/22/2014 9:28:00 PM,187.272,187.2745,187.257,187.2585
12/22/2014 9:30:00 PM,187.26,187.2765,187.2585,187.2735
12/22/2014 9:32:00 PM,187.275,187.2835,187.273,187.2795
12/22/2014 9:34:00 PM,187.2805,187.282,187.2715,187.2755
12/22/2014 9:36:00 PM,187.2765,187.281,187.273,187.2805
12/22/2014 9:38:00 PM,187.281,187.2955,187.2805,187.2835
12/22/2014 9:40:00 PM,187.284,187.3035,187.275,187.284
12/22/2014 9:42:00 PM,187.2835,187.285,187.2565,187.262
12/22/2014 9:44:00 PM,187.261,187.2685,187.243,187.246
12/22/2014 9:46:00 PM,187.2465,187.2685,187.246,187.2635
12/22/2014 9:48:00 PM,187.2625,187.2695,187.2295,187.253
12/22/2014 9:50:00 PM,187.2525,187.2545,187.2515,187.2515
12/22/2014 9:52:00 PM,187.2525,187.283,187.2515,187.2675
12/22/2014 9:54:00 PM,187.2685,187.3095,187.2675,187.2835
12/22/2014 9:56:00 PM,187.283,187.3,187.283,187.295
12/22/2014 9:58:00 PM,187.2955,187.2955,187.28,187.2835
12/22/2014 10:00:00 PM,187.285,187.3095,187.283,187.308
12/22/2014 10:02:00 PM,187.3075,187.308,187.29,187.291
12/22/2014 10:04:00 PM,187.29,187.3055,187.29,187.304
12/22/2014 10:06:00 PM,187.302,187.304,187.3015,187.3015
12/22/2014 10:08:00 PM,187.301,187.3015,187.286,187.2975
12/22/2014 10:10:00 PM,187.2975,187.2975,187.2975,187.2975
12/22/2014 10:12:00 PM,187.2985,187.328,187.2975,187.303
12/22/2014 10:14:00 PM,187.304,187.3225,187.303,187.308
12/22/2014 10:16:00 PM,187.3075,187.3175,187.3025,187.312
12/22/2014 10:18:00 PM,187.313,187.313,187.2925,187.304
12/22/2014 10:20:00 PM,187.303,187.352,187.2885,187.3415
12/22/2014 10:22:00 PM,187.3425,187.3435,187.3075,187.3105
12/22/2014 10:24:00 PM,187.311,187.3325,187.3095,187.32
