Date,Open,High,Low,Close
12/22/2014 6:16:00 PM,1.5581,1.55824,1.5581,1.55818
12/22/2014 6:18:00 PM,1.55817,1.5582,1.55812,1.55813
12/22/2014 6:20:00 PM,1.55814,1.55818,1.55808,1.5581
12/22/2014 6:22:00 PM,1.55811,1.55812,1.55796,1.55798
12/22/2014 6:24:00 PM,1.55798,1.55802,1.55798,1.55802
12/22/2014 6:26:00 PM,1.55802,1.55802,1.55768,1.55769
12/22/2014 6:28:00 PM,1.55768,1.55774,1.55758,1.5576
12/22/2014 6:30:00 PM,1.55759,1.5576,1.55734,1.5575
12/22/2014 6:32:00 PM,1.5575,1.55763,1.55746,1.55763
12/22/2014 6:34:00 PM,1.55762,1.55769,1.55762,1.55768
12/22/2014 6:36:00 PM,1.55769,1.55769,1.55763,1.55764
12/22/2014 6:38:00 PM,1.55764,1.55764,1.55764,1.55764
12/22/2014 6:40:00 PM,1.55764,1.55764,1.55762,1.55762
12/22/2014 6:42:00 PM,1.55762,1.55766,1.55759,1.55764
12/22/2014 6:44:00 PM,1.55763,1.55768,1.5576,1.55764
12/22/2014 6:46:00 PM,1.55764,1.55765,1.55761,1.55764
12/22/2014 6:48:00 PM,1.55765,1.55765,1.55761,1.55764
12/22/2014 6:50:00 PM,1.55764,1.55766,1.5576,1.55764
12/22/2014 6:52:00 PM,1.55765,1.55766,1.55762,1.55763
12/22/2014 6:54:00 PM,1.55764,1.55766,1.55762,1.55764
12/22/2014 6:56:00 PM,1.55765,1.55767,1.55754,1.55764
12/22/2014 6:58:00 PM,1.55763,1.55776,1.55763,1.55774
12/22/2014 7:00:00 PM,1.55774,1.55786,1.55774,1.55784
12/22/2014 7:02:00 PM,1.55784,1.55784,1.5578,1.55782
12/22/2014 7:04:00 PM,1.55782,1.55784,1.5578,1.5578
12/22/2014 7:06:00 PM,1.5578,1.55784,1.55778,1.5578
12/22/2014 7:08:00 PM,1.55781,1.55782,1.55777,1.5578
12/22/2014 7:10:00 PM,1.5578,1.55781,1.55776,1.55778
12/22/2014 7:12:00 PM,1.55778,1.55794,1.55776,1.55789
12/22/2014 7:14:00 PM,1.5579,1.55798,1.55788,1.55797
12/22/2014 7:16:00 PM,1.55796,1.55844,1.55786,1.55844
12/22/2014 7:18:00 PM,1.55843,1.5585,1.55829,1.55831
12/22/2014 7:20:00 PM,1.5583,1.55832,1.5581,1.55812
12/22/2014 7:22:00 PM,1.55811,1.55812,1.55798,1.55801
12/22/2014 7:24:00 PM,1.558,1.55802,1.55797,1.55798
12/22/2014 7:26:00 PM,1.55798,1.558,1.55774,1.55778
12/22/2014 7:28:00 PM,1.55778,1.55802,1.55778,1.55802
12/22/2014 7:30:00 PM,1.55802,1.55802,1.55792,1.558
12/22/2014 7:32:00 PM,1.55801,1.55821,1.55798,1.55816
12/22/2014 7:34:00 PM,1.55816,1.55824,1.558,1.55822
12/22/2014 7:36:00 PM,1.55822,1.55841,1.5582,1.55836
12/22/2014 7:38:00 PM,1.55836,1.5584,1.55834,1.55839
12/22/2014 7:40:00 PM,1.55838,1.55839,1.55838,1.55839
12/22/2014 7:42:00 PM,1.55838,1.5584,1.55836,1.55838
12/22/2014 7:44:00 PM,1.55838,1.55842,1.55836,1.5584
12/22/2014 7:46:00 PM,1.5584,1.55848,1.55836,1.55842
12/22/2014 7:48:00 PM,1.55842,1.55844,1.55826,1.55828
12/22/2014 7:50:00 PM,1.55829,1.5583,1.55819,1.55822
12/22/2014 7:52:00 PM,1.55823,1.55834,1.55821,1.5583
12/22/2014 7:54:00 PM,1.55831,1.55832,1.55827,1.55828
12/22/2014 7:56:00 PM,1.55828,1.55834,1.55826,1.5583
12/22/2014 7:58:00 PM,1.5583,1.5583,1.55811,1.55818
12/22/2014 8:00:00 PM,1.55817,1.55824,1.55816,1.55817
12/22/2014 8:02:00 PM,1.55816,1.5582,1.55809,1.55818
12/22/2014 8:04:00 PM,1.55818,1.55826,1.55812,1.55824
12/22/2014 8:06:00 PM,1.55824,1.55851,1.55824,1.5585
12/22/2014 8:08:00 PM,1.5585,1.55852,1.55848,1.55852
12/22/2014 8:10:00 PM,1.55852,1.55864,1.55852,1.55861
12/22/2014 8:12:00 PM,1.55862,1.55863,1.55849,1.55863
12/22/2014 8:14:00 PM,1.55862,1.55864,1.55857,1.5586
12/22/2014 8:16:00 PM,1.5586,1.5586,1.55852,1.55859
12/22/2014 8:18:00 PM,1.55858,1.5586,1.55838,1.55842
12/22/2014 8:20:00 PM,1.55841,1.55843,1.55839,1.55842
12/22/2014 8:22:00 PM,1.5584,1.55844,1.5584,1.55842
12/22/2014 8:24:00 PM,1.55841,1.55854,1.55837,1.55853
12/22/2014 8:26:00 PM,1.55852,1.55855,1.5585,1.55854
12/22/2014 8:28:00 PM,1.55854,1.55864,1.55852,1.55862
12/22/2014 8:30:00 PM,1.55863,1.55864,1.55862,1.55862
12/22/2014 8:32:00 PM,1.55862,1.55868,1.55856,1.5586
12/22/2014 8:34:00 PM,1.5586,1.55862,1.55856,1.55859
12/22/2014 8:36:00 PM,1.55858,1.5586,1.55851,1.55852
12/22/2014 8:38:00 PM,1.55851,1.55854,1.5585,1.55854
12/22/2014 8:40:00 PM,1.55854,1.5587,1.55848,1.55868
12/22/2014 8:42:00 PM,1.55867,1.5587,1.55861,1.55862
12/22/2014 8:44:00 PM,1.55862,1.55866,1.55861,1.55863
12/22/2014 8:46:00 PM,1.55864,1.55872,1.55863,1.5587
12/22/2014 8:48:00 PM,1.55869,1.55885,1.55865,1.55876
12/22/2014 8:50:00 PM,1.55875,1.55876,1.55868,1.55872
12/22/2014 8:52:00 PM,1.55871,1.55873,1.55867,1.55872
12/22/2014 8:54:00 PM,1.55872,1.55881,1.55871,1.55874
12/22/2014 8:56:00 PM,1.55874,1.55874,1.55871,1.55871
12/22/2014 8:58:00 PM,1.55872,1.55872,1.55861,1.55862
12/22/2014 9:00:00 PM,1.55862,1.55862,1.55861,1.55862
12/22/2014 9:02:00 PM,1.55862,1.55863,1.55861,1.55862
12/22/2014 9:04:00 PM,1.55862,1.55876,1.55862,1.55874
12/22/2014 9:06:00 PM,1.55873,1.55896,1.55872,1.55895
12/22/2014 9:08:00 PM,1.55896,1.55904,1.55892,1.55898
12/22/2014 9:10:00 PM,1.55898,1.55898,1.55882,1.55894
12/22/2014 9:12:00 PM,1.55894,1.55897,1.55892,1.55892
12/22/2014 9:14:00 PM,1.55892,1.5592,1.55892,1.55918
12/22/2014 9:16:00 PM,1.55918,1.5592,1.55909,1.55909
12/22/2014 9:18:00 PM,1.55908,1.55931,1.55908,1.55924
12/22/2014 9:20:00 PM,1.55923,1.55925,1.55906,1.55911
12/22/2014 9:22:00 PM,1.55912,1.55912,1.55908,1.55908
12/22/2014 9:24:00 PM,1.55909,1.55912,1.55892,1.55908
12/22/2014 9:26:00 PM,1.55908,1.55924,1.55908,1.55922
12/22/2014 9:28:00 PM,1.55922,1.55929,1.5592,1.55922
12/22/2014 9:30:00 PM,1.55921,1.55925,1.5592,1.5592
12/22/2014 9:32:00 PM,1.5592,1.55926,1.5592,1.5592
12/22/2014 9:34:00 PM,1.55921,1.55924,1.5592,1.55923
12/22/2014 9:36:00 PM,1.55924,1.55924,1.55916,1.55919
12/22/2014 9:38:00 PM,1.55918,1.55922,1.55916,1.55916
12/22/2014 9:40:00 PM,1.55916,1.55918,1.5589,1.5589
12/22/2014 9:42:00 PM,1.5589,1.55895,1.55883,1.55888
12/22/2014 9:44:00 PM,1.55889,1.55892,1.55876,1.55879
12/22/2014 9:46:00 PM,1.55878,1.5588,1.5587,1.5587
12/22/2014 9:48:00 PM,1.55872,1.55889,1.5587,1.55886
12/22/2014 9:50:00 PM,1.55885,1.55888,1.55884,1.55884
12/22/2014 9:52:00 PM,1.55884,1.55892,1.55876,1.5589
12/22/2014 9:54:00 PM,1.5589,1.55918,1.55886,1.55898
12/22/2014 9:56:00 PM,1.55898,1.559,1.55897,1.55898
12/22/2014 9:58:00 PM,1.55898,1.559,1.55896,1.55898
12/22/2014 10:00:00 PM,1.559,1.55922,1.55896,1.5592
12/22/2014 10:02:00 PM,1.55921,1.55921,1.5591,1.5591
12/22/2014 10:04:00 PM,1.5591,1.55918,1.5591,1.5591
12/22/2014 10:06:00 PM,1.5591,1.55912,1.55905,1.55911
12/22/2014 10:08:00 PM,1.5591,1.55911,1.55902,1.55902
12/22/2014 10:10:00 PM,1.55903,1.55906,1.55902,1.55904
12/22/2014 10:12:00 PM,1.55904,1.55911,1.55902,1.55908
12/22/2014 10:14:00 PM,1.55908,1.55908,1.55907,1.55908
12/22/2014 10:16:00 PM,1.55909,1.55912,1.55908,1.55911
12/22/2014 10:18:00 PM,1.5591,1.55921,1.5591,1.55917
12/22/2014 10:20:00 PM,1.55918,1.55937,1.5591,1.55936
12/22/2014 10:22:00 PM,1.55936,1.55938,1.55929,1.55934
12/22/2014 10:24:00 PM,1.55934,1.55938,1.55932,1.55935
12/22/2014 10:26:00 PM,1.55936,1.5595,1.55932,1.55946
12/22/2014 10:28:00 PM,1.55946,1.55968,1.55946,1.55963
12/22/2014 10:30:00 PM,1.55964,1.55964,1.55961,1.55962
12/22/2014 10:32:00 PM,1.55962,1.55962,1.55936,1.55938
12/22/2014 10:34:00 PM,1.55939,1.55945,1.55924,1.55928
12/22/2014 10:36:00 PM,1.55926,1.55928,1.55922,1.55925
12/22/2014 10:38:00 PM,1.55924,1.55926,1.55924,1.55924
12/22/2014 10:40:00 PM,1.55925,1.55927,1.55924,1.55925
12/22/2014 10:42:00 PM,1.55925,1.55925,1.55925,1.55925
12/22/2014 10:44:00 PM,1.55924,1.55926,1.5592,1.55926
12/22/2014 10:46:00 PM,1.55926,1.55927,1.55918,1.55921
12/22/2014 10:48:00 PM,1.5592,1.55922,1.55914,1.55919
12/22/2014 10:50:00 PM,1.5592,1.5592,1.55918,1.55919
12/22/2014 10:52:00 PM,1.55918,1.5592,1.55916,1.55916
12/22/2014 10:54:00 PM,1.55916,1.55922,1.55915,1.55918
12/22/2014 10:56:00 PM,1.55919,1.55923,1.55918,1.55923
12/22/2014 10:58:00 PM,1.55924,1.55926,1.55921,1.55926
12/22/2014 11:00:00 PM,1.55925,1.55926,1.55925,1.55926
12/22/2014 11:02:00 PM,1.55926,1.55926,1.55915,1.55918
12/22/2014 11:04:00 PM,1.55919,1.5592,1.55918,1.5592
12/22/2014 11:06:00 PM,1.5592,1.55926,1.55916,1.55916
12/22/2014 11:08:00 PM,1.55916,1.5592,1.55914,1.55915
12/22/2014 11:10:00 PM,1.55914,1.55917,1.55898,1.55901
12/22/2014 11:12:00 PM,1.559,1.55903,1.55896,1.55897
12/22/2014 11:14:00 PM,1.55896,1.55899,1.55894,1.55897
12/22/2014 11:16:00 PM,1.55898,1.55898,1.55894,1.55897
12/22/2014 11:18:00 PM,1.55896,1.55898,1.55871,1.55874
12/22/2014 11:20:00 PM,1.55873,1.55874,1.55869,1.55872
12/22/2014 11:22:00 PM,1.55873,1.55879,1.55872,1.55878
12/22/2014 11:24:00 PM,1.55878,1.55879,1.55876,1.55878
12/22/2014 11:26:00 PM,1.55878,1.55878,1.55876,1.55878
12/22/2014 11:28:00 PM,1.55878,1.55878,1.55876,1.55878
12/22/2014 11:30:00 PM,1.55879,1.5588,1.55878,1.55879
12/22/2014 11:32:00 PM,1.55878,1.55885,1.55876,1.55883
12/22/2014 11:34:00 PM,1.55884,1.55889,1.55883,1.55889
12/22/2014 11:36:00 PM,1.55889,1.5589,1.55888,1.55888
12/22/2014 11:38:00 PM,1.55888,1.55888,1.55888,1.55888
12/22/2014 11:40:00 PM,1.55888,1.55904,1.55888,1.559
12/22/2014 11:42:00 PM,1.55902,1.55904,1.55898,1.559
12/22/2014 11:44:00 PM,1.559,1.55906,1.55896,1.55905
12/22/2014 11:46:00 PM,1.55906,1.55919,1.55904,1.55912
12/22/2014 11:48:00 PM,1.55912,1.55924,1.5591,1.55924
12/22/2014 11:50:00 PM,1.55922,1.55934,1.55922,1.55932
12/22/2014 11:52:00 PM,1.55932,1.55932,1.55928,1.5593
12/22/2014 11:54:00 PM,1.55929,1.5593,1.55929,1.5593
12/22/2014 11:56:00 PM,1.5593,1.55931,1.55918,1.5592
12/22/2014 11:58:00 PM,1.55919,1.55923,1.55915,1.55916
12/22/2014 11:59:00 PM,1.55916,1.55918,1.55915,1.55916
12/23/2014 12:00:00 AM,1.55916,1.55923,1.55914,1.55922
