Date,Open,High,Low,Close
12/22/2014 8:56:00 PM,1.50415,1.50416,1.50395,1.50402
12/22/2014 8:58:00 PM,1.50404,1.50414,1.50402,1.50405
12/22/2014 9:00:00 PM,1.50404,1.50412,1.50404,1.50408
12/22/2014 9:02:00 PM,1.5041,1.5041,1.50403,1.50404
12/22/2014 9:04:00 PM,1.50406,1.50436,1.50402,1.50426
12/22/2014 9:06:00 PM,1.50427,1.50455,1.50404,1.50446
12/22/2014 9:08:00 PM,1.50446,1.50448,1.50408,1.50408
12/22/2014 9:10:00 PM,1.50409,1.50429,1.50404,1.50424
12/22/2014 9:12:00 PM,1.50424,1.50424,1.50396,1.50398
12/22/2014 9:14:00 PM,1.50398,1.50398,1.50356,1.5036
12/22/2014 9:16:00 PM,1.5036,1.5041,1.50358,1.50409
12/22/2014 9:18:00 PM,1.5041,1.50412,1.50379,1.50402
12/22/2014 9:20:00 PM,1.50402,1.50408,1.50383,1.50396
12/22/2014 9:22:00 PM,1.50396,1.50398,1.50381,1.50387
12/22/2014 9:24:00 PM,1.50388,1.50494,1.50387,1.50489
12/22/2014 9:26:00 PM,1.50488,1.50494,1.50431,1.50432
12/22/2014 9:28:00 PM,1.50432,1.50432,1.50408,1.50414
12/22/2014 9:30:00 PM,1.50413,1.50433,1.50404,1.50433
12/22/2014 9:32:00 PM,1.50431,1.50455,1.50431,1.50449
12/22/2014 9:34:00 PM,1.5045,1.50454,1.50435,1.50437
12/22/2014 9:36:00 PM,1.50438,1.50438,1.50411,1.50415
12/22/2014 9:38:00 PM,1.50413,1.5043,1.50408,1.50426
12/22/2014 9:40:00 PM,1.50426,1.50426,1.50392,1.50406
12/22/2014 9:42:00 PM,1.50407,1.50436,1.50396,1.50432
12/22/2014 9:44:00 PM,1.50432,1.50434,1.50406,1.50418
12/22/2014 9:46:00 PM,1.50418,1.5042,1.5041,1.50415
12/22/2014 9:48:00 PM,1.50416,1.50433,1.50405,1.50406
12/22/2014 9:50:00 PM,1.50408,1.50414,1.50406,1.50414
12/22/2014 9:52:00 PM,1.50416,1.50454,1.50414,1.50454
12/22/2014 9:54:00 PM,1.50453,1.50454,1.50428,1.50442
12/22/2014 9:56:00 PM,1.50442,1.50446,1.50436,1.50444
12/22/2014 9:58:00 PM,1.50445,1.50456,1.50442,1.50456
12/22/2014 10:00:00 PM,1.50457,1.50503,1.50456,1.50499
12/22/2014 10:02:00 PM,1.505,1.50501,1.50474,1.50486
12/22/2014 10:04:00 PM,1.50488,1.50508,1.50471,1.50485
12/22/2014 10:06:00 PM,1.50486,1.50504,1.50481,1.50504
12/22/2014 10:08:00 PM,1.50504,1.50514,1.50496,1.50502
12/22/2014 10:10:00 PM,1.50502,1.50523,1.50498,1.50522
12/22/2014 10:12:00 PM,1.50522,1.50538,1.5051,1.50518
12/22/2014 10:14:00 PM,1.50518,1.50528,1.50504,1.50514
12/22/2014 10:16:00 PM,1.50514,1.50518,1.50493,1.50496
12/22/2014 10:18:00 PM,1.50496,1.5052,1.50493,1.50518
12/22/2014 10:20:00 PM,1.50519,1.50528,1.50496,1.50507
12/22/2014 10:22:00 PM,1.50508,1.50522,1.50507,1.50519
12/22/2014 10:24:00 PM,1.5052,1.50522,1.505,1.50514
12/22/2014 10:26:00 PM,1.50512,1.50514,1.505,1.50508
12/22/2014 10:28:00 PM,1.50508,1.50524,1.50492,1.50521
12/22/2014 10:30:00 PM,1.5052,1.50529,1.5052,1.50526
12/22/2014 10:32:00 PM,1.50524,1.50526,1.50499,1.50506
12/22/2014 10:34:00 PM,1.50505,1.50507,1.50496,1.50498
12/22/2014 10:36:00 PM,1.50498,1.50503,1.50497,1.50501
12/22/2014 10:38:00 PM,1.50498,1.50502,1.50486,1.50488
12/22/2014 10:40:00 PM,1.50487,1.505,1.50484,1.50492
12/22/2014 10:42:00 PM,1.50494,1.50504,1.50492,1.50496
12/22/2014 10:44:00 PM,1.50494,1.50574,1.5049,1.50554
12/22/2014 10:46:00 PM,1.50555,1.50582,1.50554,1.50576
12/22/2014 10:48:00 PM,1.50577,1.50594,1.50561,1.50579
12/22/2014 10:50:00 PM,1.5058,1.50605,1.50578,1.50597
12/22/2014 10:52:00 PM,1.50596,1.50625,1.50596,1.50611
12/22/2014 10:54:00 PM,1.5061,1.50612,1.50561,1.50564
12/22/2014 10:56:00 PM,1.50564,1.50578,1.50531,1.50562
12/22/2014 10:58:00 PM,1.50562,1.50564,1.50546,1.50555
12/22/2014 11:00:00 PM,1.50556,1.50576,1.50554,1.50574
12/22/2014 11:02:00 PM,1.50574,1.50576,1.50552,1.50563
12/22/2014 11:04:00 PM,1.50562,1.50563,1.50502,1.50506
12/22/2014 11:06:00 PM,1.50506,1.50536,1.50503,1.5053
12/22/2014 11:08:00 PM,1.5053,1.50586,1.5053,1.50578
12/22/2014 11:10:00 PM,1.50577,1.5059,1.50572,1.50575
12/22/2014 11:12:00 PM,1.50576,1.50584,1.50559,1.50559
12/22/2014 11:14:00 PM,1.5056,1.50578,1.50556,1.50576
12/22/2014 11:16:00 PM,1.50577,1.50579,1.50563,1.50572
12/22/2014 11:18:00 PM,1.50573,1.50662,1.50572,1.5065
12/22/2014 11:20:00 PM,1.50651,1.5067,1.50626,1.50628
12/22/2014 11:22:00 PM,1.50627,1.50658,1.50612,1.50644
12/22/2014 11:24:00 PM,1.50646,1.5065,1.50604,1.5064
12/22/2014 11:26:00 PM,1.50639,1.50657,1.5061,1.50621
12/22/2014 11:28:00 PM,1.50622,1.50636,1.50618,1.5062
